Code_geo,nom_projet,nom_rue,nb_unites,unites_typ,hlm_famill,hlm_pa,hlm_autres,projettype,type_prog,an_orig,an_effect,arrond,villelie,qr,localisati,aired_id,longitude,latitude,xnad83,ynad83
"585",PLM REST. 732-4 (Théodore-Joliette),Théodore,"6",logement,"6","0","0",HLM,,"1974",,Mercier–Hochelaga-Maisonneuve,,"28",Aire de diffusion,"24663328",-73.537358594762097,45.558551227648202,301883.444166405068245,5046516.193862689658999
"586",Leclaire,Théodore,"31",logement,"31","0","0",HLM,,"1993",,Mercier–Hochelaga-Maisonneuve,,"28",Aire de diffusion,"24663328",-73.537358594762097,45.558551227648202,301883.444166405068245,5046516.193862689658999
"587",Angrignon I et II,Trinitaires,"47",logement,"0","41","6",HLM,,"1979",,Le Sud-Ouest,,"49",Aire de diffusion,"24661001",-73.596885352897900,45.446698426320701,297221.244853336189408,5034089.824966750107706
"588",Des Trinitaires,Trinitaires,"24",logement,"22","0","2",HLM,,"1971",,Le Sud-Ouest,,"49",Aire de diffusion,"24660997",-73.603326592787596,45.448062536889999,296717.580437099095434,5034242.045084769837558
"589",Des Trinitaires,Trinitaires,"24",logement,"24","0","0",HLM,,"1971",,Le Sud-Ouest,,"49",Aire de diffusion,"24660998",-73.600548256007698,45.448130576118203,296934.917132703645620,5034249.330707239918411
"590",Des Trinitaires,Trinitaires,"24",logement,"24","0","0",HLM,,"1971",,Le Sud-Ouest,,"49",Aire de diffusion,"24660997",-73.603326592787596,45.448062536889999,296717.580437099095434,5034242.045084769837558
"591",Des Trinitaires,Trinitaires,"24",logement,"24","0","0",HLM,,"1971",,Le Sud-Ouest,,"49",Aire de diffusion,"24660997",-73.603326592787596,45.448062536889999,296717.580437099095434,5034242.045084769837558
"592",Lenoir Saint-Henri,Turgeon,"11",logement,"11","0","0",HLM,,"1972",,Le Sud-Ouest,,"50",Aire de diffusion,"24662131",-73.578909208126305,45.477847327139898,298630.808038830233272,5037549.855627628974617
"593","Rose-de-Lima A, B, C, D",Turgeon,"5",logement,"5","0","0",HLM,,"1975",,Le Sud-Ouest,,"50",Aire de diffusion,"24662131",-73.578909208126305,45.477847327139898,298630.808038830233272,5037549.855627628974617
"594",Lenoir Saint-Henri,Turgeon,"5",logement,"5","0","0",HLM,,"1972",,Le Sud-Ouest,,"50",Aire de diffusion,"24662131",-73.578909208126305,45.477847327139898,298630.808038830233272,5037549.855627628974617
"595",Rose-de-Lima E et F,Turgeon,"12",logement,"12","0","0",HLM,,"1976",,Le Sud-Ouest,,"50",Aire de diffusion,"24662131",-73.578909208126305,45.477847327139898,298630.808038830233272,5037549.855627628974617
"596","Rose-de-Lima A, B, C, D",Turgeon,"5",logement,"5","0","0",HLM,,"1975",,Le Sud-Ouest,,"50",Aire de diffusion,"24662132",-73.581263541986402,45.478226822791001,298446.786776018794626,5037592.212415629066527
"597",Rose-de-Lima G,Turgeon,"3",logement,"3","0","0",HLM,,"1978",,Le Sud-Ouest,,"50",Aire de diffusion,"24662132",-73.581263541986402,45.478226822791001,298446.786776018794626,5037592.212415629066527
"598",Lenoir Saint-Henri,Turgeon,"3",logement,"3","0","0",HLM,,"1972",,Le Sud-Ouest,,"50",Aire de diffusion,"24662132",-73.581263541986402,45.478226822791001,298446.786776018794626,5037592.212415629066527
"599",Saint-Raymond,Upper-Lachine,"105",logement,"0","102","3",HLM,,"1980",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"44",Aire de diffusion,"24662155",-73.609483459887997,45.469232497067800,296239.181710071163252,5036595.292150069028139
"600",Upper Lachine I,Upper-Lachine,"4",logement,"4","0","0",HLM,,"1991",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"44",Aire de diffusion,"24662162",-73.602242448750104,45.472063661797797,296805.776884279679507,5036909.173323068767786
"601",Valois,Valois,"9",logement,"9","0","0",HLM,,"1987",,Mercier–Hochelaga-Maisonneuve,,"27",Aire de diffusion,"24661743",-73.537989028762496,45.545055628563603,301833.516792550275568,5045016.431522059254348
"602",Vézina,Vézina,"22",logement,"22","0","0",HLM,,"1987",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24660615",-73.644561167838106,45.496303948717802,293501.769942649058066,5039608.079873129725456
"603",Vimont,Viau,"3",logement,"3","0","0",HLM,,"1989",,Mercier–Hochelaga-Maisonneuve,,"28",Aire de diffusion,"24661728",-73.525685182148777,45.556121271521477,302794.691790095472243,5046245.791090977378190
"604",Vimont,Viau,"6",logement,"6","0","0",HLM,,"1989",,Mercier–Hochelaga-Maisonneuve,,"28",Aire de diffusion,"24661728",-73.525685182148777,45.556121271521477,302794.691790095472243,5046245.791090977378190
"605",Plamondon,Victoria,"76",logement,"0","76","0",HLM,,"1980",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24660617",-73.641730775680401,45.495033255163200,293722.731122590135783,5039466.473096199333668
"606",Vimont,Ville-Marie,"6",logement,"6","0","0",HLM,,"1989",,Mercier–Hochelaga-Maisonneuve,,"28",Aire de diffusion,"24661728",-73.525685182148777,45.556121271521477,302794.691790095472243,5046245.791090977378190
"607",Vimont,Ville-Marie,"6",logement,"6","0","0",HLM,,"1989",,Mercier–Hochelaga-Maisonneuve,,"28",Aire de diffusion,"24661728",-73.525685182148777,45.556121271521477,302794.691790095472243,5046245.791090977378190
"608",Boyer,Villeray,"96",logement,"0","91","5",HLM,,"1985",,Villeray–Saint-Michel–Parc-Extension,,"13",Aire de diffusion,"24660434",-73.617831043052504,45.544525509056299,295598.735755434900057,5044963.570158109068871
"609",De Pontbriand I,Villeray,"87",logement,"0","81","6",HLM,,"1982",,Villeray–Saint-Michel–Parc-Extension,,"13",Aire de diffusion,"24660436",-73.620280443066605,45.542997850570003,295407.211086822615471,5044794.083200271241367
"610",Monk,De Villiers,"12",logement,"12","0","0",HLM,,"1989",,Le Sud-Ouest,,"48",Aire de diffusion,"24661033",-73.594761801244502,45.461216835881899,297389.259224648238160,5035703.051068260334432
"611",De Villiers,De Villiers,"8",logement,"8","0","0",HLM,,"1974",,Le Sud-Ouest,,"48",Aire de diffusion,"24661028",-73.589098978249098,45.461757474400301,297832.180558915657457,5035762.625586889684200
"612",Vimont,Vimont,"3",logement,"3","0","0",HLM,,"1989",,Mercier–Hochelaga-Maisonneuve,,"28",Aire de diffusion,"24661728",-73.525685182148777,45.556121271521477,302794.691790095472243,5046245.791090977378190
"613",Vimont,Vimont,"3",logement,"3","0","0",HLM,,"1989",,Mercier–Hochelaga-Maisonneuve,,"28",Aire de diffusion,"24661728",-73.525685182148777,45.556121271521477,302794.691790095472243,5046245.791090977378190
"614",PLM REST. 732-5 (Chambly-Visitation),Visitation,"4",logement,"4","0","0",HLM,,"1977",,Ville-Marie,,"30",Aire de diffusion,"24661863",-73.556697778375494,45.521213158382601,300370.718769323138986,5042367.653708429075778
"615",Montcalm,Visitation,"5",logement,"5","0","0",HLM,,"1974",,Ville-Marie,,"30",Aire de diffusion,"24661862",-73.558415237964397,45.519989561312698,300236.450371408020146,5042231.770509830676019
